country,date,type,cases

colombia,2020-03-15,confirmed,2456
colombia,2020-03-16,death,87
colombia,2020-04-20,recovered,1205
colombia,2021-07-10,confirmed,3789
colombia,2021-07-11,death,142
argentina,2020-01-15,confirmed,1854
argentina,2020-02-28,death,45
argentina,2020-05-12,recovered,987
argentina,2021-06-15,confirmed,2341
argentina,2022-01-08,confirmed,892
brasil,2020-02-26,confirmed,3245
brasil,2020-03-10,death,198
brasil,2020-06-18,recovered,2156
brasil,2021-05-22,confirmed,4567
brasil,2021-08-14,death,287
mexico,2020-02-28,confirmed,1678
mexico,2020-04-05,death,89
mexico,2020-07-11,recovered,1234
mexico,2021-03-20,confirmed,2890
mexico,2022-02-15,confirmed,567
espana,2020-01-31,confirmed,2134
espana,2020-03-15,death,156
espana,2020-05-20,recovered,1789
espana,2021-04-10,confirmed,3456
espana,2021-09-25,death,98
francia,2020-01-24,confirmed,1567
francia,2020-03-08,death,78
francia,2020-06-12,recovered,1345
francia,2021-02-18,confirmed,2789
francia,2021-11-05,confirmed,678
alemania,2020-01-27,confirmed,1890
alemania,2020-03-12,death,67
alemania,2020-05-15,recovered,1456
alemania,2021-01-30,confirmed,3234
alemania,2021-08-22,death,145
italia,2020-01-31,confirmed,2345
italia,2020-03-18,death,189
italia,2020-06-25,recovered,1678
italia,2021-05-14,confirmed,2987
italia,2022-01-12,confirmed,789
chile,2020-03-03,confirmed,1234
chile,2020-04-15,death,56
chile,2020-07-08,recovered,987
chile,2021-06-20,confirmed,1890
chile,2022-03-10,confirmed,456
peru,2020-03-06,confirmed,1567
peru,2020-04-18,death,98
peru,2020-08-12,recovered,1234
peru,2021-07-25,confirmed,2456
peru,2021-12-15,death,87
